,match_stats_key,match_id,possession_x,possession_y,fouls_x,fouls_y,corners_x,corners_y,crosses_x,crosses_y,touches_x,touches_y,tackles_x,tackles_y,interceptions_x,interceptions_y,aerials_won_x,aerials_won_y,clearances_x,clearances_y,offsides_x,offsides_y,goal_kicks_x,goal_kicks_y,throw_ins_x,throw_ins_y,long_balls_x,long_balls_y
1914,1914,b36a7b4d,0.52,0.48,12.0,9.0,7.0,3.0,11.0,6.0,640.0,624.0,13.0,20.0,10.0,8.0,23.0,14.0,13.0,20.0,1.0,0.0,11.0,9.0,25.0,18.0,57.0,64.0
1915,1915,709e2aa4,0.7,0.3,11.0,10.0,5.0,2.0,20.0,7.0,855.0,415.0,12.0,15.0,6.0,17.0,38.0,18.0,32.0,22.0,2.0,2.0,2.0,11.0,34.0,19.0,49.0,74.0
1916,1916,efd768f0,0.46,0.54,8.0,14.0,2.0,4.0,21.0,7.0,629.0,714.0,14.0,16.0,5.0,5.0,18.0,13.0,18.0,30.0,2.0,0.0,8.0,5.0,14.0,13.0,82.0,55.0
1917,1917,7b057bc1,0.31,0.69,6.0,6.0,3.0,7.0,15.0,11.0,476.0,937.0,16.0,15.0,4.0,8.0,17.0,11.0,22.0,12.0,1.0,0.0,4.0,6.0,22.0,18.0,56.0,54.0
1918,1918,270dc7ba,0.49,0.51,19.0,14.0,4.0,6.0,9.0,11.0,625.0,655.0,32.0,19.0,3.0,5.0,10.0,14.0,28.0,37.0,1.0,1.0,6.0,7.0,24.0,29.0,65.0,63.0
1919,1919,eef415ec,0.43,0.57,13.0,18.0,8.0,12.0,16.0,14.0,554.0,647.0,14.0,15.0,11.0,8.0,24.0,27.0,42.0,22.0,3.0,0.0,10.0,7.0,14.0,14.0,51.0,53.0
1920,1920,476d12a9,0.45,0.55,20.0,14.0,4.0,4.0,7.0,17.0,524.0,601.0,16.0,27.0,9.0,5.0,31.0,31.0,40.0,45.0,0.0,2.0,8.0,9.0,21.0,18.0,64.0,77.0
1921,1921,db21a88a,0.4,0.6,9.0,17.0,1.0,8.0,11.0,11.0,493.0,621.0,18.0,14.0,6.0,5.0,30.0,22.0,67.0,20.0,1.0,3.0,14.0,6.0,23.0,27.0,75.0,83.0
1922,1922,ab9e9e23,0.61,0.39,8.0,16.0,6.0,11.0,11.0,11.0,680.0,499.0,17.0,21.0,3.0,6.0,20.0,16.0,23.0,31.0,2.0,5.0,13.0,4.0,29.0,14.0,84.0,67.0
1923,1923,6b34e6af,0.62,0.38,8.0,17.0,9.0,5.0,16.0,8.0,659.0,478.0,11.0,17.0,4.0,5.0,28.0,18.0,16.0,35.0,1.0,0.0,8.0,8.0,26.0,16.0,60.0,70.0
1924,1924,14d877cc,0.35,0.65,10.0,10.0,4.0,6.0,17.0,19.0,471.0,752.0,19.0,21.0,13.0,8.0,26.0,25.0,36.0,44.0,2.0,1.0,12.0,8.0,14.0,20.0,64.0,66.0
1925,1925,88328013,0.64,0.36,16.0,16.0,4.0,6.0,12.0,11.0,781.0,513.0,17.0,26.0,4.0,14.0,11.0,10.0,18.0,32.0,0.0,1.0,6.0,7.0,26.0,12.0,37.0,56.0
1926,1926,a6b40849,0.43,0.57,9.0,13.0,5.0,7.0,20.0,14.0,498.0,624.0,18.0,18.0,5.0,2.0,26.0,22.0,38.0,42.0,4.0,1.0,8.0,12.0,25.0,20.0,62.0,63.0
1927,1927,e98d8736,0.33,0.67,9.0,16.0,2.0,6.0,3.0,16.0,477.0,833.0,22.0,18.0,18.0,8.0,6.0,13.0,26.0,17.0,2.0,0.0,6.0,1.0,10.0,19.0,56.0,44.0
1928,1928,4e620966,0.47,0.53,14.0,14.0,4.0,6.0,13.0,9.0,557.0,595.0,32.0,24.0,5.0,4.0,28.0,26.0,22.0,17.0,1.0,2.0,9.0,6.0,28.0,30.0,51.0,50.0
1929,1929,111b8b45,0.66,0.34,9.0,14.0,3.0,2.0,24.0,10.0,759.0,451.0,12.0,23.0,3.0,7.0,32.0,18.0,32.0,32.0,3.0,1.0,5.0,11.0,23.0,22.0,64.0,72.0
