match_id,formation_x,formation_y
3c076ec9,3-2-2-1-2,4-4-2(d)
61aef840,3-4-1-2,4-2-3-1
6378e865,4-1-4-1,4-2-3-1
c1b712f6,4-2-2-2,4-4-2(d)
d2173667,4-2-2-2,4-1-4-1
05dc1148,4-2-2-1-1,4-4-2(d)
78ddf538,4-2-2-2,3-2-2-2-1
840b4dde,3-4-1-2,4-1-4-1
ca175c9c,4-4-2,4-4-2
4e00c6fa,4-2-2-2,4-1-4-1
a23bb367,4-2-3-1,3-1-4-2
e5f4a948,3-4-1-2,3-2-2-1-2
27380b1c,4-1-4-1,4-2-3-1
2d460aea,4-1-4-1,4-2-3-1
deb1bda9,4-1-4-1,3-2-2-2-1
8c87e772,3-3-2-2,4-2-2-2
ed0daadb,3-4-1-2,4-1-4-1
f701d234,3-4-3,4-2-2-2
80da51a6,4-1-4-1,4-4-2(d)
60f9905f,4-2-3-1,4-2-2-2
3153c734,3-4-3,3-2-2-2-1
8238f9ce,3-2-2-1-2,3-2-2-1-2
721d0916,3-2-2-1-2,4-1-4-1
6c3e29bf,4-1-4-1,4-2-3-1
caf163f1,4-1-4-1,4-2-3-1
fc08da57,4-4-2(d),5-4-1
136a4d84,4-4-2(d),3-5-2
30d9d52c,4-1-4-1,3-2-2-1-2
9c135ce7,4-1-4-1,4-1-4-1
63c3a6fd,4-4-2,4-4-1-1
7b135379,4-4-1-1,4-5-1
538b5bcf,3-4-1-2,3-4-1-2
43a71ff7,4-2-3-1,4-3-3
6d0c472a,3-5-2,4-3-2-1
480315ae,4-1-4-1,4-2-3-1
08f5a5b3,4-3-3,4-4-2
a007612d,3-4-1-2,3-4-3
aeb9b25e,3-4-1-2,4-4-2(d)
fd0d5470,3-4-3,4-1-4-1
3eff956d,4-5-1,4-2-2-2
cc83f62b,4-3-3,4-2-3-1
b9c824d9,3-4-3,3-4-1-2
d97fbe16,4-4-2(d),4-4-2(d)
bb20b49d,4-4-2(d),3-4-3
17f250e0,4-2-2-2,4-3-3
b8130eac,4-2-3-1,4-3-3
4df16aa7,4-2-3-1,3-4-1-2
91a39fe1,4-1-4-1,3-5-2
0c2a6390,4-4-2,4-3-3
50323c34,3-5-2,4-5-1
0f824b05,4-5-1,4-3-3
72ede6cc,4-1-4-1,3-5-2
9073f724,4-3-3,4-4-1-1
17ea1585,3-5-2,4-4-2
051149a8,4-1-4-1,4-4-2(d)
95629df9,4-3-3,4-1-4-1
c19c666e,3-4-3,3-4-3
86994c33,3-4-1-2,4-2-3-1
87f5895d,4-3-3,4-4-2(d)
36cd6979,3-5-2,4-2-3-1
9475e52e,4-3-3,4-5-1
0714f674,4-3-3,4-3-3
a2b3f4db,4-1-4-1,4-2-3-1
6b96a0fb,4-4-1-1,4-3-3
a9a000b7,4-4-2(d),4-4-2(d)
14117b76,4-5-1,4-3-3
a9d723fb,4-2-3-1,4-1-4-1
cd52067c,4-4-2(d),3-4-1-2
29a149a6,4-4-1-1,3-5-2
00ee37ac,3-4-1-2,3-5-2
4d69c331,4-4-2(d),3-4-3
08c9f762,4-3-3,4-4-2(d)
003b8f20,4-1-4-1,4-5-1
14f65c0c,4-2-3-1,4-1-4-1
f32c6baf,3-5-2,3-4-1-2
c8d4c209,3-5-2,4-1-4-1
2dadf99a,4-2-3-1,4-1-4-1
a07e1c23,3-4-3,4-4-2
